run,year,MEWDH,PRICH,METC,MTCD,cost_roof,cost_grid,std_roof,std_grid,share,MEWG,MEWL,MEWK,MEWS,total_cap,non_rooftop_cap,rooftop_cap_share
export_0.8,2041,8092.63,3613.16,20.5658,5.69873,-1788.23,0.0,5.71503,0.0,0.988509,93035.8,0.139049,76.3311,0.221598,344.457,268.126,0.221598
export_0.8,2042,8313.37,3693.49,19.9873,5.53844,-1842.12,0.0,5.55348,0.0,0.991028,95817.0,0.139049,78.6134,0.215837,364.226,285.612,0.215837
export_0.8,2043,8542.41,3775.66,19.476,5.39675,-1896.14,0.0,5.41076,0.0,0.992998,98652.6,0.139049,80.9403,0.209898,385.618,304.678,0.209898
export_0.8,2044,8779.88,3860.23,18.9913,5.26242,-1951.18,0.0,5.27541,0.0,0.994539,101552.0,0.139048,83.3199,0.203507,409.42,326.1,0.203507
export_0.8,2045,9025.7,3946.67,18.4888,5.12319,-2007.52,0.0,5.13521,0.0,0.995742,104522.0,0.139048,85.7568,0.196327,436.805,351.048,0.196327
export_0.8,2046,9279.92,4035.35,18.0242,4.99447,-2064.62,0.0,5.00555,0.0,0.99668,107567.0,0.139048,88.2558,0.186066,474.324,386.068,0.186066
export_0.8,2047,9542.64,4126.24,17.5858,4.87297,-2122.63,0.0,4.88328,0.0,0.997413,110694.0,0.139048,90.821,0.146958,618.005,527.184,0.146958
export_0.8,2048,9813.96,4219.45,17.2013,4.76642,-2181.23,0.0,4.77605,0.0,0.997984,113906.0,0.139048,93.4566,0.135452,689.96,596.504,0.135452
export_0.8,2049,10094.0,4315.13,16.8168,4.65988,-2241.25,0.0,4.66882,0.0,0.998429,117209.0,0.139047,96.1668,0.135852,707.881,611.714,0.135852
export_0.8,2050,10382.9,4413.15,16.4587,4.56067,-2302.25,0.0,4.56895,0.0,0.998776,120606.0,0.139047,98.9543,0.1369,722.821,623.867,0.1369
export_1.2,2023,5313.52,2466.49,46.7364,12.9505,-774.866,0.0,13.0066,0.0,0.488652,30196.8,0.139056,24.7726,0.241105,102.746,77.9733,0.241105
export_1.2,2024,5363.22,2540.0,42.8009,11.86,-868.864,0.0,11.9465,0.0,0.550972,34366.5,0.139056,28.1934,0.265255,106.288,78.0945,0.265255
export_1.2,2025,5433.17,2611.02,40.238,11.1498,-944.664,0.0,11.2287,0.0,0.611732,38654.0,0.139055,31.7109,0.273201,116.071,84.3606,0.273201
export_1.2,2026,5540.59,2672.96,37.9276,10.5096,-1011.68,0.0,10.5842,0.0,0.669207,43121.7,0.139055,35.3762,0.279131,126.737,91.3609,0.279131
export_1.2,2027,5666.81,2726.18,35.8297,9.92829,-1070.84,0.0,9.99839,0.0,0.722039,47586.0,0.139055,39.0388,0.282416,138.232,99.1928,0.282416
export_1.2,2028,5808.87,2772.92,33.933,9.40272,-1123.64,0.0,9.46648,0.0,0.769342,51974.6,0.139055,42.6393,0.283544,150.38,107.741,0.283544
export_1.2,2029,5966.46,2818.64,32.2094,8.92511,-1173.49,0.0,8.98296,0.0,0.810705,56254.8,0.139054,46.151,0.282841,163.169,117.018,0.282841
export_1.2,2030,6139.39,2864.39,30.6458,8.49187,-1221.17,0.0,8.54403,0.0,0.846134,60415.0,0.139054,49.5642,0.280604,176.634,127.07,0.280604
export_1.2,2031,6278.37,2910.51,29.273,8.11145,-1266.55,0.0,8.15641,0.0,0.875947,63959.4,0.139054,52.4723,0.276943,189.47,136.997,0.276943
export_1.2,2032,6428.74,2972.66,28.022,7.76481,-1319.33,0.0,7.80505,0.0,0.900662,67339.1,0.139053,55.2453,0.272457,202.767,147.522,0.272457
export_1.2,2033,6590.22,3036.87,26.8782,7.44786,-1371.8,0.0,7.48408,0.0,0.920897,70581.4,0.139053,57.9057,0.267418,216.536,158.63,0.267418
export_1.2,2034,6762.56,3102.89,25.8286,7.15702,-1424.01,0.0,7.18964,0.0,0.937297,73717.1,0.139052,60.4785,0.262034,230.804,170.325,0.262034
export_1.2,2035,6945.54,3170.46,24.8687,6.89105,-1475.89,0.0,6.92013,0.0,0.95048,76776.7,0.139052,62.9891,0.25644,245.629,182.64,0.25644
export_1.2,2036,7115.09,3239.62,23.9982,6.64983,-1527.46,0.0,6.67524,0.0,0.961007,79521.9,0.139051,65.2417,0.250707,260.231,194.989,0.250707
export_1.2,2037,7293.48,3310.73,23.2046,6.42994,-1579.06,0.0,6.45275,0.0,0.969368,82224.9,0.139051,67.4597,0.245155,275.171,207.712,0.245155
export_1.2,2038,7480.55,3383.65,22.483,6.22998,-1630.7,0.0,6.25061,0.0,0.975981,84909.2,0.139051,69.6624,0.239249,291.171,221.508,0.239249
export_1.2,2039,7676.16,3458.17,21.8083,6.04301,-1682.57,0.0,6.06228,0.0,0.981194,87594.9,0.13905,71.8662,0.233251,308.107,236.24,0.233251
export_1.2,2040,7880.21,3534.68,21.176,5.86781,-1735.03,0.0,5.88547,0.0,0.985293,90299.0,0.13905,74.0853,0.227358,325.852,251.767,0.227358
export_1.2,2041,8092.63,3613.16,20.5649,5.69848,-1788.31,0.0,5.71477,0.0,0.988509,93035.8,0.139049,76.3311,0.221596,344.46,268.129,0.221596
export_1.2,2042,8313.37,3693.49,19.9865,5.53819,-1842.19,0.0,5.55324,0.0,0.991028,95817.0,0.139049,78.6134,0.215835,364.229,285.616,0.215835
