Variable name,Variable description,Unit,Dim1,Dim2,Dim3,Dim4,Domain,History start,History end,Forecast start,Source/Comment
Base registration rate,FTT-Transport Registration tax,share,RTI,VTTI,NA,TIME,FTT-Tr,,,2001,
RLTA,FTT-Transport age-tracking matrix,th-veh,RTI,VTTI,VYTI,TIME,FTT-Tr,,,2017,
RHSM,FTT-Transport Hydrogen blending mandate,share H2 in freight,RTI,NA,NA,TIME,FTT-Tr,,,2001,
RFLT,FTT-Transport Fleet stocks in use (from survival),th-veh,RTI,NA,NA,TIME,FTT-Tr,,,2001,
REVS,FTT-Transport vehicle scrappage,th-veh/y,RTI,VTTI,NA,TIME,FTT-Tr,,,2017,
RBFM,FTT-Transport Biofuel blending mandate,%,RTI,NA,NA,TIME,FTT-Tr,,,2001,
BTTC,FTT-Transport Cost matrix,,RTI,VTTI,C3TI,NA,FTT-Tr,,,2014,
BTCI,FTT-Transport  initial cost matrix,,RTI,VTTI,C3TI,NA,FTT-Tr,,,2014,
TDA1,FTT-Tr last year of shares data,,RTI,NA,NA,NA,FTT-Tr,,,,
TDA2,FTT-Tr last year of cost data,,RTI,NA,NA,NA,FTT-Tr,,,,
IUD1,FTT-IH-CHI useful energy demand (GWh),GWh,RTI,ITTI,NA,TIME,FTT-IH-CHI,1970,2015,1970,
ISC1,FTT-IH-CHI market share caps,%,RTI,ITTI,NA,TIME,FTT-IH-CHI,-,-,2015,-
IWW1,FTT-IH-CHI cumulative capacities (EU28),GW,NA,ITTI,NA,TIME,FTT-IH-CHI,-,-,2015,
IWI1,FTT-IH-CHI yearly capacity additions,GW,RTI,ITTI,NA,TIME,FTT-IH-CHI,1971,2015,1971,
IWK1,FTT-IH-CHI yearly capacity ,GW,RTI,ITTI,NA,TIME,FTT-IH-CHI,1970,2015,1970,
IWA1,FTT-IH-CHI substitution matrix,rate,NA,ITTI,ITTI,NA,FTT-IH-CHI,-,-,,
BIC1,FTT-IH-CHI cost matrix,various,RTI,ITTI,CTTI,NA,FTT-IH-CHI,-,-,,
IWS1,FTT-IH-CHI market shares,%,RTI,ITTI,NA,TIME,FTT-IH-CHI,2000,2015,2000,
IWB1,FTT-IH-CHI learning spillover matrix,%,NA,ITTI,ITTI,NA,FTT-IH-CHI,-,-,,
IFD1,FTT-IH-CHI final energy demand,GWh,RTI,ITTI,NA,TIME,FTT-IH-CHI,-,-,2000,
ILC1,FTT-IH-CHI The real bare LC without taxes,Meuros/MWh,RTI,ITTI,NA,TIME,FTT-IH-CHI,-,-,2000,
ILG1,FTT-IH-CHI LC as seen by consumer,Meuros/MWh,RTI,ITTI,NA,TIME,FTT-IH-CHI,-,-,2000,
ILD1,FTT-IH-CHI LC standard deviation,Meuros/MWh,RTI,ITTI,NA,TIME,FTT-IH-CHI,-,-,2000,
IWE1,FTT-IH-CHI Emissions,kt of CO2,RTI,ITTI,NA,TIME,FTT-IH-CHI,,,2000,
IHW1,FTT-IH-CHI Global average emissions per UED (kt of CO2/GWh),kt of CO2/GWh,NA,ITTI,NA,TIME,FTT-IH-CHI,,,2000,
IAM1,FTT-IH-CHI gamma values,,RTI,ITTI,NA,TIME,FTT-IH-CHI,,,2000,
IRG1,FTT-IH-CHI regulations (based on capacity),GW,RTI,ITTI,NA,TIME,FTT-IH-CHI,,,2000,
ISB1,FTT-IH-CHI subsidies (percentage of investment cost),%,RTI,ITTI,NA,TIME,FTT-IH-CHI,,,2000,
IXS1,FTT-IH-CHI exogenous share changes,%,RTI,ITTI,NA,TIME,FTT-IH-CHI,,,2000,
IUD2,FTT-IH-FBT useful energy demand (GWh),GWh,RTI,ITTI,NA,TIME,FTT-IH-FBT,1970,2015,1970,
ISC2,FTT-IH-FBT market share caps,%,RTI,ITTI,NA,TIME,FTT-IH-FBT,-,-,2015,-
IWW2,FTT-IH-FBT cumulative capacities (EU28),GW,NA,ITTI,NA,TIME,FTT-IH-FBT,-,-,2015,
IWI2,FTT-IH-FBT yearly capacity additions,GW,RTI,ITTI,NA,TIME,FTT-IH-FBT,1971,2015,1971,
IWK2,FTT-IH-FBT yearly capacity ,GW,RTI,ITTI,NA,TIME,FTT-IH-FBT,1970,2015,1970,
IWA2,FTT-IH-FBT substitution matrix,rate,NA,ITTI,ITTI,NA,FTT-IH-FBT,-,-,,
BIC2,FTT-IH-FBT cost matrix,various,RTI,ITTI,CTTI,NA,FTT-IH-FBT,-,-,,
IWS2,FTT-IH-FBT market shares,%,RTI,ITTI,NA,TIME,FTT-IH-FBT,2000,2015,2000,
IWB2,FTT-IH-FBT learning spillover matrix,%,NA,ITTI,ITTI,NA,FTT-IH-FBT,-,-,,
IFD2,FTT-IH-FBT final energy demand,GWh,RTI,ITTI,NA,TIME,FTT-IH-FBT,-,-,2000,
ILC2,FTT-IH-FBT The real bare LC without taxes,Meuros/MWh,RTI,ITTI,NA,TIME,FTT-IH-FBT,-,-,2000,
ILG2,FTT-IH-FBT LC as seen by consumer,Meuros/MWh,RTI,ITTI,NA,TIME,FTT-IH-FBT,-,-,2000,
ILD2,FTT-IH-FBT LC standard deviation,Meuros/MWh,RTI,ITTI,NA,TIME,FTT-IH-FBT,-,-,2000,
IWE2,FTT-IH-FBT Emissions,kt of CO2,RTI,ITTI,NA,TIME,FTT-IH-FBT,2000,2015,2000,
IHW2,FTT-IH-FBT Global average emissions per UED (kt of CO2/GWh),kt of CO2/GWh,NA,ITTI,NA,TIME,FTT-IH-FBT,2000,2015,2000,
